'Elapsed time','V1'
'hh:mm:ss.mmm','mV'
'23:40.000',0.175
'23:40.003',0.185
'23:40.006',0.195
'23:40.008',0.200
'23:40.011',0.205
'23:40.014',0.200
'23:40.017',0.185
'23:40.019',0.180
'23:40.022',0.155
'23:40.025',0.145
'23:40.028',0.130
'23:40.031',0.125
'23:40.033',0.130
'23:40.036',0.120
'23:40.039',0.115
'23:40.042',0.110
'23:40.044',0.120
'23:40.047',0.115
'23:40.050',0.110
'23:40.053',0.105
'23:40.056',0.105
'23:40.058',0.095
'23:40.061',0.080
'23:40.064',0.105
'23:40.067',0.105
'23:40.069',0.125
'23:40.072',0.135
'23:40.075',0.130
'23:40.078',0.150
'23:40.081',0.135
'23:40.083',0.125
'23:40.086',0.110
'23:40.089',0.100
'23:40.092',0.105
'23:40.094',0.100
'23:40.097',0.105
'23:40.100',0.110
'23:40.103',0.125
'23:40.106',0.125
'23:40.108',0.120
'23:40.111',0.120
'23:40.114',0.120
'23:40.117',0.115
'23:40.119',0.110
'23:40.122',0.090
'23:40.125',0.105
'23:40.128',0.105
'23:40.131',0.110
'23:40.133',0.125
'23:40.136',0.125
'23:40.139',0.130
'23:40.142',0.120
'23:40.144',0.120
'23:40.147',0.115
'23:40.150',0.110
'23:40.153',0.110
'23:40.156',0.110
'23:40.158',0.105
'23:40.161',0.115
'23:40.164',0.130
'23:40.167',0.155
'23:40.169',0.180
'23:40.172',0.220
'23:40.175',0.255
'23:40.178',0.275
'23:40.181',0.260
'23:40.183',0.240
'23:40.186',0.200
'23:40.189',0.155
'23:40.192',0.075
'23:40.194',0.015
'23:40.197',-0.040
'23:40.200',-0.060
'23:40.203',-0.060
'23:40.206',-0.045
'23:40.208',-0.040
'23:40.211',-0.010
'23:40.214',0.005
'23:40.217',0.015
'23:40.219',0.055
'23:40.222',0.140
'23:40.225',0.270
'23:40.228',0.430
'23:40.231',0.595
'23:40.233',0.720
'23:40.236',0.810
'23:40.239',0.890
'23:40.242',0.935
'23:40.244',0.965
'23:40.247',0.995
'23:40.250',1.010
'23:40.253',1.010
'23:40.256',0.975
'23:40.258',0.935
'23:40.261',0.870
'23:40.264',0.790
'23:40.267',0.710
'23:40.269',0.625
'23:40.272',0.530
'23:40.275',0.430
'23:40.278',0.350
'23:40.281',0.275
'23:40.283',0.215
'23:40.286',0.170
'23:40.289',0.155
'23:40.292',0.125
'23:40.294',0.125
'23:40.297',0.130
'23:40.300',0.120
'23:40.303',0.120
'23:40.306',0.105
'23:40.308',0.100
'23:40.311',0.095
'23:40.314',0.090
'23:40.317',0.085
'23:40.319',0.070
'23:40.322',0.065
'23:40.325',0.070
'23:40.328',0.065
'23:40.331',0.060
'23:40.333',0.065
'23:40.336',0.065
'23:40.339',0.075
'23:40.342',0.065
'23:40.344',0.060
'23:40.347',0.060
'23:40.350',0.065
'23:40.353',0.055
'23:40.356',0.045
'23:40.358',0.025
'23:40.361',0.040
'23:40.364',0.040
'23:40.367',0.045
'23:40.369',0.055
'23:40.372',0.075
'23:40.375',0.060
'23:40.378',0.060
'23:40.381',0.075
'23:40.383',0.050
'23:40.386',0.050
'23:40.389',0.035
'23:40.392',0.035
'23:40.394',0.035
'23:40.397',0.040
'23:40.400',0.055
'23:40.403',0.060
'23:40.406',0.050
'23:40.408',0.055
'23:40.411',0.035
'23:40.414',0.045
'23:40.417',0.035
'23:40.419',0.030
'23:40.422',0.020
'23:40.425',0.020
'23:40.428',0.015
'23:40.431',0.025
'23:40.433',0.025
'23:40.436',0.035
'23:40.439',0.040
'23:40.442',0.040
'23:40.444',0.035
'23:40.447',0.020
'23:40.450',0.015
'23:40.453',0.015
'23:40.456',0.005
'23:40.458',0.000
'23:40.461',0.000
'23:40.464',-0.005
'23:40.467',0.005
'23:40.469',0.005
'23:40.472',0.005
'23:40.475',0.020
'23:40.478',0.010
'23:40.481',0.000
'23:40.483',-0.005
'23:40.486',-0.020
'23:40.489',-0.025
'23:40.492',-0.020
'23:40.494',-0.035
'23:40.497',-0.020
'23:40.500',-0.010
'23:40.503',-0.030
'23:40.506',-0.025
'23:40.508',-0.025
'23:40.511',-0.035
'23:40.514',-0.035
'23:40.517',-0.045
'23:40.519',-0.065
'23:40.522',-0.065
'23:40.525',-0.065
'23:40.528',-0.070
'23:40.531',-0.080
'23:40.533',-0.085
'23:40.536',-0.095
'23:40.539',-0.075
'23:40.542',-0.090
'23:40.544',-0.100
'23:40.547',-0.110
'23:40.550',-0.120
'23:40.553',-0.125
'23:40.556',-0.140
'23:40.558',-0.155
'23:40.561',-0.135
'23:40.564',-0.145
'23:40.567',-0.130
'23:40.569',-0.125
'23:40.572',-0.120
'23:40.575',-0.125
'23:40.578',-0.130
'23:40.581',-0.130
'23:40.583',-0.140
'23:40.586',-0.145
'23:40.589',-0.150
'23:40.592',-0.155
'23:40.594',-0.150
'23:40.597',-0.145
'23:40.600',-0.135
'23:40.603',-0.130
'23:40.606',-0.110
'23:40.608',-0.110
'23:40.611',-0.120
'23:40.614',-0.105
'23:40.617',-0.105
'23:40.619',-0.105
'23:40.622',-0.090
'23:40.625',-0.095
'23:40.628',-0.090
'23:40.631',-0.075
'23:40.633',-0.055
'23:40.636',-0.035
'23:40.639',-0.030
'23:40.642',-0.015
'23:40.644',-0.005
'23:40.647',-0.005
'23:40.650',-0.010
'23:40.653',-0.010
'23:40.656',-0.005
'23:40.658',0.005
'23:40.661',0.005
'23:40.664',0.035
'23:40.667',0.030
'23:40.669',0.055
'23:40.672',0.065
'23:40.675',0.070
'23:40.678',0.075
'23:40.681',0.085
'23:40.683',0.080
'23:40.686',0.090
'23:40.689',0.080
'23:40.692',0.075
'23:40.694',0.075
'23:40.697',0.095
'23:40.700',0.110
'23:40.703',0.115
'23:40.706',0.115
'23:40.708',0.120
'23:40.711',0.115
'23:40.714',0.110
'23:40.717',0.110
'23:40.719',0.105
'23:40.722',0.100
'23:40.725',0.090
'23:40.728',0.105
'23:40.731',0.110
'23:40.733',0.100
'23:40.736',0.110
'23:40.739',0.125
'23:40.742',0.125
'23:40.744',0.125
'23:40.747',0.120
'23:40.750',0.110
'23:40.753',0.105
'23:40.756',0.100
'23:40.758',0.090
'23:40.761',0.100
'23:40.764',0.110
'23:40.767',0.105
'23:40.769',0.120
'23:40.772',0.120
'23:40.775',0.125
'23:40.778',0.120
'23:40.781',0.130
'23:40.783',0.125
'23:40.786',0.110
'23:40.789',0.115
'23:40.792',0.110
'23:40.794',0.110
'23:40.797',0.115
'23:40.800',0.130
'23:40.803',0.135
'23:40.806',0.130
'23:40.808',0.130
'23:40.811',0.130
'23:40.814',0.120
'23:40.817',0.120
'23:40.819',0.120
'23:40.822',0.115
'23:40.825',0.105
'23:40.828',0.115
'23:40.831',0.115
'23:40.833',0.115
'23:40.836',0.110
'23:40.839',0.125
'23:40.842',0.130
'23:40.844',0.125
'23:40.847',0.130
'23:40.850',0.130
'23:40.853',0.120
'23:40.856',0.110
'23:40.858',0.110
'23:40.861',0.105
'23:40.864',0.115
'23:40.867',0.120
'23:40.869',0.125
'23:40.872',0.140
'23:40.875',0.130
'23:40.878',0.135
'23:40.881',0.125
'23:40.883',0.115
'23:40.886',0.105
'23:40.889',0.115
'23:40.892',0.105
'23:40.894',0.105
'23:40.897',0.115
'23:40.900',0.115
'23:40.903',0.115
'23:40.906',0.130
'23:40.908',0.135
'23:40.911',0.125
'23:40.914',0.125
'23:40.917',0.110
'23:40.919',0.110
'23:40.922',0.095
'23:40.925',0.105
'23:40.928',0.105
'23:40.931',0.105
'23:40.933',0.115
