'Elapsed time','V1'
'hh:mm:ss.mmm','mV'
'17:40.000',0.135
'17:40.003',0.090
'17:40.006',0.045
'17:40.008',-0.010
'17:40.011',-0.075
'17:40.014',-0.140
'17:40.017',-0.240
'17:40.019',-0.345
'17:40.022',-0.440
'17:40.025',-0.545
'17:40.028',-0.595
'17:40.031',-0.665
'17:40.033',-0.735
'17:40.036',-0.775
'17:40.039',-0.840
'17:40.042',-0.880
'17:40.044',-0.920
'17:40.047',-0.945
'17:40.050',-0.985
'17:40.053',-1.030
'17:40.056',-1.080
'17:40.058',-1.125
'17:40.061',-1.150
'17:40.064',-1.150
'17:40.067',-1.180
'17:40.069',-1.225
'17:40.072',-1.260
'17:40.075',-1.285
'17:40.078',-1.280
'17:40.081',-1.260
'17:40.083',-1.215
'17:40.086',-1.160
'17:40.089',-1.100
'17:40.092',-1.025
'17:40.094',-0.920
'17:40.097',-0.755
'17:40.100',-0.555
'17:40.103',-0.390
'17:40.106',-0.235
'17:40.108',-0.115
'17:40.111',-0.025
'17:40.114',0.065
'17:40.117',0.090
'17:40.119',0.115
'17:40.122',0.135
'17:40.125',0.155
'17:40.128',0.190
'17:40.131',0.220
'17:40.133',0.235
'17:40.136',0.240
'17:40.139',0.265
'17:40.142',0.255
'17:40.144',0.280
'17:40.147',0.285
'17:40.150',0.310
'17:40.153',0.290
'17:40.156',0.290
'17:40.158',0.295
'17:40.161',0.310
'17:40.164',0.340
'17:40.167',0.345
'17:40.169',0.335
'17:40.172',0.325
'17:40.175',0.320
'17:40.178',0.330
'17:40.181',0.350
'17:40.183',0.365
'17:40.186',0.360
'17:40.189',0.355
'17:40.192',0.360
'17:40.194',0.370
'17:40.197',0.385
'17:40.200',0.390
'17:40.203',0.375
'17:40.206',0.375
'17:40.208',0.400
'17:40.211',0.415
'17:40.214',0.430
'17:40.217',0.440
'17:40.219',0.435
'17:40.222',0.445
'17:40.225',0.450
'17:40.228',0.460
'17:40.231',0.475
'17:40.233',0.495
'17:40.236',0.475
'17:40.239',0.465
'17:40.242',0.485
'17:40.244',0.500
'17:40.247',0.515
'17:40.250',0.510
'17:40.253',0.500
'17:40.256',0.500
'17:40.258',0.500
'17:40.261',0.515
'17:40.264',0.535
'17:40.267',0.540
'17:40.269',0.525
'17:40.272',0.505
'17:40.275',0.510
'17:40.278',0.495
'17:40.281',0.515
'17:40.283',0.505
'17:40.286',0.490
'17:40.289',0.475
'17:40.292',0.460
'17:40.294',0.465
'17:40.297',0.470
'17:40.300',0.460
'17:40.303',0.435
'17:40.306',0.415
'17:40.308',0.390
'17:40.311',0.380
'17:40.314',0.360
'17:40.317',0.350
'17:40.319',0.325
